ticker,category,bin,direction,p,y,gross_pnl,fee,net_pnl
KXUE-JPN26APR-2.4,Economics,"(0.8, 0.9]",-1,0.85,1.0,-0.64,0.016128000000000003,-0.656128
KXUE-JPN26APR-2.7,Economics,"(-0.001, 0.1]",1,0.05,0.0,-0.54,0.017388,-0.557388
KXDOGE15M-26APR272030-30,Crypto,"(0.2, 0.3]",-1,0.2909,0.0,0.2508999999999999,0.013156443299999997,0.23774355669999991
KXTHEWEEKNIGHTMENTION-26APR27B-TRUM,Mentions,"(0.6, 0.7]",-1,0.69,0.0,0.24,0.012768,0.227232
KXTHEWEEKNIGHTMENTION-26APR27B-MANI,Mentions,"(0.6, 0.7]",-1,0.6168,0.0,0.16680000000000006,0.009728443200000004,0.15707155680000007
KXTHEWEEKNIGHTMENTION-26APR27B-AFFO,Mentions,"(0.4, 0.5]",-1,0.5,0.0,0.050000000000000044,0.0033250000000000033,0.04667500000000004
KXTHEWEEKNIGHTMENTION-26APR27B-OIL,Mentions,"(0.2, 0.3]",-1,0.22,0.0,-0.22999999999999998,0.0006930000000000006,-0.23069299999999998
KXMLBHIT-26APR271810TBCLE-CLEJRAMREZ11-2,Sports,"(0.2, 0.3]",-1,0.3,0.0,-0.19499999999999984,0.0006930000000000006,-0.19569299999999984
KXMLBHR-26APR271840STLPIT-STLJWALKER18-1,Sports,"(0.1, 0.2]",1,0.14,0.0,-0.63,0.016317,-0.646317
KXNHLPTS-26APR27PHIPIT-PITSCROSBY87-3,Sports,"(0.1, 0.2]",1,0.17,0.0,-0.66,0.015708,-0.675708
KXCBDECISIONJAPAN-26APR27-HOLD,Economics,"(0.8, 0.9]",-1,0.88,1.0,-0.61,0.016653,-0.626653
KXCBDECISIONJAPAN-26APR27-H25P,Economics,"(-0.001, 0.1]",1,0.01,0.0,-0.5,0.0175,-0.5175
KXCBDECISIONJAPAN-26APR27-H25,Economics,"(-0.001, 0.1]",1,0.05,0.0,-0.54,0.017388,-0.557388
KXCBDECISIONJAPAN-26APR27-C25P,Economics,"(-0.001, 0.1]",1,0.01,0.0,-0.5,0.0175,-0.5175
KXCBDECISIONJAPAN-26APR27-C25,Economics,"(-0.001, 0.1]",1,0.01,0.0,-0.5,0.0175,-0.5175
KXMLBTEAMTOTAL-26APR271940SEAMIN-MIN4,Sports,"(0.5, 0.6]",-1,0.541,1.0,-0.954,0.003071880000000003,-0.95707188
KXMLBHR-26APR271940SEAMIN-MINRJEFFERS27-1,Sports,"(0.1, 0.2]",1,0.11,0.0,-0.6,0.016800000000000002,-0.6168
KXAAAGASD-26APR28-4.135,Economics,"(0.4, 0.5]",-1,0.46,1.0,-1.03,0.0006930000000000006,-1.030693
KXAAAGASD-26APR28-4.065,Economics,"(0.9, 1.0]",-1,0.99,1.0,-0.5,0.0175,-0.5175
KXAAAGASD-26APR28-4.095,Economics,"(0.9, 1.0]",-1,0.99,1.0,-0.5,0.0175,-0.5175
KXAAAGASD-26APR28-4.100,Economics,"(0.9, 1.0]",-1,0.99,1.0,-0.5,0.0175,-0.5175
KXAAAGASD-26APR28-4.110,Economics,"(0.9, 1.0]",-1,0.9841,1.0,-0.5059,0.0174975633,-0.5233975633
KXAAAGASD-26APR28-4.070,Economics,"(0.9, 1.0]",-1,0.99,1.0,-0.5,0.0175,-0.5175
KXAAAGASD-26APR28-4.080,Economics,"(0.9, 1.0]",-1,0.99,1.0,-0.5,0.0175,-0.5175
KXAAAGASD-26APR28-4.090,Economics,"(0.9, 1.0]",-1,0.99,1.0,-0.5,0.0175,-0.5175
KXAAAGASD-26APR28-4.075,Economics,"(0.9, 1.0]",-1,0.99,1.0,-0.5,0.0175,-0.5175
KXAAAGASD-26APR28-4.105,Economics,"(0.9, 1.0]",-1,0.99,1.0,-0.5,0.0175,-0.5175
KXAAAGASD-26APR28-4.085,Economics,"(0.9, 1.0]",-1,0.99,1.0,-0.5,0.0175,-0.5175
KXAAAGASD-26APR28-4.120,Economics,"(0.8, 0.9]",-1,0.8387,1.0,-0.6513,0.015897581700000003,-0.6671975817
KXNBATOTAL-26APR27MINDEN-208,Sports,"(0.8, 0.9]",-1,0.81,1.0,-0.25,0.013125000000000001,-0.263125
KXMLBTB-26APR272210MIALAD-LADMMUNCY13-5,Sports,"(0.1, 0.2]",1,0.15,0.0,-0.625,0.01640625,-0.64140625
KXETHD-26APR2802-T2299.99,Crypto,"(0.2, 0.3]",-1,0.2033,0.0,0.043300000000000005,0.0028997577000000004,0.04040024230000001
KXNHLGOAL-26APR27VGKUTA-UTALCROUSE67-1,Sports,"(0.2, 0.3]",-1,0.23,0.0,0.11499999999999999,0.00712425,0.10787574999999999
KXNBAMENTION-26APR27DETORL-BUZZ,Mentions,"(0.4, 0.5]",-1,0.45,0.0,0.0,0.0006930000000000006,-0.0006930000000000006
